OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
9389;The Yeoman;700 Wells Road, Whitchurch, Bristol;BS14 9HX;Stockwood;Monday to Thursday 12:00-23:00, Friday & Saturday 12:00-00:00, Sunday 12:00-23:00;3;4;3;0;1;Door less than 1 metre, 220 x 150 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, no mirror, colour-contr;No;No;Yes - during opening times;Yes;1;No;Yes;No;;"{""coordinates"": [-2.559290159411997, 51.41351192872558], ""type"": ""Point""}";51.41351192872558, -2.559290159411997
9403;Spicer + Cole Clifton;9 Princess Victoria Street Bristol;BS8 4BX;Clifton;Monday to Friday 09:00-17:00,  Saturday & Sunday 8:30-17:00;0;0;0;2;0;N/A;No;No;N/A;No;1;No;No;No;<Null>;"{""coordinates"": [-2.6194138160885183, 51.45465227528023], ""type"": ""Point""}";51.45465227528023, -2.6194138160885183
9404;Steam;Steam Clifton Down Station Whiteladies Gate Bristol;BS8 2PN;Clifton Down;Monday to Wednesday 15:00-23:00, Thursday & Friday 15:00-00:00, Saturday 12:00-00:00, Sunday 13:00-22:00;3;2;8;0;0;N/A;No;No;N/A;No;No;No;No;No;<Null>;"{""coordinates"": [-2.611410964098844, 51.464552886383785], ""type"": ""Point""}";51.464552886383785, -2.611410964098844
9411;The Gallimaurfry;26 Gloucester Road Bishopston Bristol;BS7 8AE;Redland;Monday to Saturday 11L00-23:30, Sunday 12:00-23:30;1;2;2;0;0;N/A;No;No;N/A;No;1;No;No;No;<Null>;"{""coordinates"": [-2.5928339789084554, 51.47171533825465], ""type"": ""Point""}";51.47171533825465, -2.5928339789084554
9418;Two Ways Caffe Bar;10 Queens Avenue Bristol;BS8 1SB;Central;Monday to Friday 08:00 -16:30, Saturday 11:00-16:30, CLOSED SUNDAY;0;0;0;1;0;N/A;No;No;N/A;No;0;No;Yes;No;<Null>;"{""coordinates"": [-2.6075429826426113, 51.45773949920542], ""type"": ""Point""}";51.45773949920542, -2.6075429826426113
9414;The Old Stillage;The Old Stillage Church Road Redfield Bristol;BS5 9LA;Easton;Monday 14:00-23:00, Tuesday & Wednesday 14:00-23:30, Thursday 14:00-00:30, Friday & Saturday 14:00-01:30, Sunday 12:30-23:30;1;3;1;0;1;Door over 1 metre, 200 x 18- cubicle, seat height 45 cm, support rails by hand basin and toilet are movable, seat has locking lugs, mirror, colour-con;No;No;Yes - during opening times;No;1;No;No;No;<Null>;"{""coordinates"": [-2.558109112622046, 51.458766400289385], ""type"": ""Point""}";51.458766400289385, -2.558109112622046
3;Ardagh Public Conveniences Horfield Common;Kellaway Avenue, Horfield, Bristol;BS6 7YL;Bishopston & Ashley Down;Monday-Sunday 08.00-17.15 (winter), 08:00-21.15 (summer), excluding Christmas Day;1;1;2;0;1;YES - Moveable support rail, door 86cm, cubicle 160 x 367cm, seat 48cm, coloured skirting, non reflective wall, non slip floor, accessible locks;N;N;No;Y;N;N;N;;N;"{""coordinates"": [-2.5929064815930136, 51.485066846419336], ""type"": ""Point""}";51.485066846419336, -2.5929064815930136
6;Blaise Castle House Museum and Roman Villa;Henbury Road;BS10 7QS;Henbury & Brentry;Thu- Sun 11:00- 16:00, open Mondays during Bristol school holidays 10:00-17:00. Full details available on www.bristolmuseums.org.uk;1;3;1;;0;NONE;N;;;;Y;N;N;;N;"{""coordinates"": [-2.632438200600677, 51.50576615730659], ""type"": ""Point""}";51.50576615730659, -2.632438200600677
7;Ashton Court Estate Public Conveniences Stable yard;Kennel Lodge Road, Long Ashton, North Somerset;BS41 9JN;North Somerset Ward;Monday-Sunday 07.00-17:00 (winter), 07:00-19:00 (summer), excluding Christmas Day;2;2;5;0;1;YES - Moveable hand rail, door 89cm, cubicle 167 x 194cm, seat of toilet 48cm, mirror, non reflect walls, non slip floor, accessible locks;N;N;;N;Y;N;N;;N;"{""coordinates"": [-2.6377503626186467, 51.444193779986655], ""type"": ""Point""}";51.444193779986655, -2.6377503626186467
11;Hengrove Play Park, Hengrove Leisure Centre,;Hengrove way, Hengrove, Bristol;BS14 0HR;Hengrove & Whitchurch Park;Only open when Play Park is open.;;;;;1;YES;N;;;;;N;N;;N;"{""coordinates"": [-2.5849136601501916, 51.41543110059432], ""type"": ""Point""}";51.41543110059432, -2.5849136601501916
54;Avonmouth Medical Centre (Pioneer Medical Group);1 Collins Street, Bristol;BS11 9JJ;Avonmouth & Lawrence Weston;Monday-Thursday 08:00 - 18:30, Friday 08:00-17:00;0;0;0;2;1;YES - Moveable rail, door 94cm, cubicle 153 x 167cm, seat height 48cm, accessible locks;N;N;Y during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.6945328659943515, 51.498751607481], ""type"": ""Point""}";51.498751607481, -2.6945328659943515
143;Henbury Library;Crow Lane, Henbury;BS10 7DR;Henbury & Brentry;11-5 Monday, 11-7 Wednesday, 11 - 5 Friday, 11 - 5 Saturday;;;;1;Yes;Level access;N;N;N;N;Y;N;N;N;N;"{""coordinates"": [-2.6194802014765224, 51.50968369538701], ""type"": ""Point""}";51.50968369538701, -2.6194802014765224
150;The Galleries Shopping Centre;25 Union Gallery, Broadmead;BS1 3XD;Central;Mon ¿ Sat 9am-7pm, Sun 11am-5pm;Yes;?;Yes;;0;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.5892256941029226, 51.45651931361665], ""type"": ""Point""}";51.45651931361665, -2.5892256941029226
514;Bristol Museum and Art Gallery;Queens Road, Bristol;BS8 1RL;Central;OPEN Tues- Sun 10:30- 17:00;1;3;1;;1;YES;N;N;y during opentimes;N;Y;;N;N;;"{""coordinates"": [-2.605155635130489, 51.45628514060206], ""type"": ""Point""}";51.45628514060206, -2.605155635130489
1617;Cafe on the Square;Shirehampton Road, Bristol;BS9 2DY;Stoke Bishop;Monday-Saturday 10:00-14:00;0;0;0;1;1;YES - Door 90cm, seat height 48cm, cubical size 152-200cm;N;N;N;N;Y;N;N;Y;Y;"{""coordinates"": [-2.6475979815555095, 51.48798155895088], ""type"": ""Point""}";51.48798155895088, -2.6475979815555095
5489;The Hub;1 Fedden Building, Gainsborough Square;BS7 9FB;Lockleaze;Monday - Friday 9am - 3pm;1;;1;;Yes;YES;N;;;;Y;;;Y;Y;"{""coordinates"": [-2.5625930621243778, 51.49008840678964], ""type"": ""Point""}";51.49008840678964, -2.5625930621243778
3457;The Old Crow;Crow Lane;BS10 7DR;Henbury & Brentry;Monday - Sunday 11:00 - 23:00;2;7;2;0;0;NONE;N;N;No;N;N;N;N;Y;Y;"{""coordinates"": [-2.61881840566948, 51.50993181879535], ""type"": ""Point""}";51.50993181879535, -2.61881840566948
44;Redcatch Park Public Conveniences;Broad Walk, Knowle, Bristol;BS4 2RA;Knowle;7.00 until 16.30 winter - 20.00 summer hours, excluding Christmas Day;2;1;2;;1;YES - Support rail mobile door 80cm, 175x100cm cubical, seat 47cm, non reflective wall, non slip floor, accessible lock;N;N;no;Y;N;N;N;N;N;"{""coordinates"": [-2.5719354058107493, 51.43400238208885], ""type"": ""Point""}";51.43400238208885, -2.5719354058107493
610;The Range;Unit 7 Imperial Park Wills Way Bristol;BS13 7TJ;Bishopsworth;Monday-Saturday 8:30-20:00, Sunday 10:00-17:00;1;1;3;;1;YES - Support rail movable, Cubical size 240x235, Height of seat 49cm, Door width 19, Mirror, Non-slip floor, Non reflective wall;;;;;Y;;;;;"{""coordinates"": [-2.6026119078912298, 51.416801069611395], ""type"": ""Point""}";51.416801069611395, -2.6026119078912298
53;McDonald's - Brislington;Bath Road / Emery Road;BS4 5PF;Brislington East;24 hours;2;?;2;;1;YES- cubicle 94cmx140cm, Door width 73cm, seat height 49cm, contrasting skirting board, non slip floor, handrails, no locking seat lugs.;N;;Yes - during open times;N;Yes;N;N;;Y;"{""coordinates"": [-2.538740561366428, 51.43006562614154], ""type"": ""Point""}";51.43006562614154, -2.538740561366428
9391;Bishops Tavern;225 - 231 Cheltenham Road Bristol;BS6 5QP;Redland;Mon -Sun 11:00 to 23:00;2;0;3;0;1;Door less than 1 metre, 270 x 120 cubicle, seat height 47cm, movable support rails by hand basin and toilet, no locking lugs on seat, mirror, colour-c;No;No;Yes - during opening times;No;1;No;Yes;No;Yes;"{""coordinates"": [-2.593860740899445, 51.469848860680436], ""type"": ""Point""}";51.469848860680436, -2.593860740899445
9392;Boston Tea Party;293 Gloucester Road Horfield Bristol;BS7 8PE;Bishopston & Ashley Down;Monday to Saturday 08:00 to 17:00 Sunday 09:00 to 17:00;2;3;3;0;1;Door width 89cm, height of seat 47cm;No;No;Yes - during opening times;<Null>;Yes;No;<Null>;<Null>;<Null>;"{""coordinates"": [-2.588634308787119, 51.48032508317732], ""type"": ""Point""}";51.48032508317732, -2.588634308787119
9393;Boston Tea Party;75 Park Street City Centre Bristol;BS1 5PF;Hotwells & Harbourside;Monday to Saturday 08:00 to 17:00 Sunday 09:00 to 17:00;0;0;0;3;0;N/A;No;No;N/A;No;1;No;No;No;<Null>;"{""coordinates"": [-2.603874156010444, 51.45515877020282], ""type"": ""Point""}";51.45515877020282, -2.603874156010444
8747;Boston Tea Party;St Johns Court, Whiteladies Road, Clifton, Bristol;BS8 2QY;Clifton Down;Monday to Saturday 08:00 to 17:00 Sunday 09:00 to 17:00;2;2;3;0;1;Door over 1 metre, 200 x 300 cubicle, seat height 50 cm, movable hand rails by hand basin and toilet, no locking lugs, mirror, colour-contrasting skir;No;No;Yes - during opening times;No;1;No;Yes;No;;"{""coordinates"": [-2.6134579663087405, 51.467922895186305], ""type"": ""Point""}";51.467922895186305, -2.6134579663087405
9383;Spicer + Cole;1 Queen Square Avenue, Bristol;BS1 4JA;Central;Monday to Friday 08:00-16:00, Saturday & Sunday 09:00-16:00;0;0;0;1;0;N/A;No;No;N/A;No;1;No;No;No;;"{""coordinates"": [-2.592895566621062, 51.4511685798859], ""type"": ""Point""}";51.4511685798859, -2.592895566621062
9415;The Trinity Centre;The Trinity Centre Trinity Road Bristol;BS2 0NW;Lawrence Hill;<Null>;2;3;8;3;2;<Null>;Yes;No;Yes;No;1;No;No;Yes;<Null>;"{""coordinates"": [-2.5759710897480455, 51.458064956855274], ""type"": ""Point""}";51.458064956855274, -2.5759710897480455
47;Dundridge Public Conveniences;Recreation Ground Dundridge Lane Bristol;BS5 8SZ;St George Troopers Hill;During match play only;;;;;0;NONE;N;;;;;N;N;;N;"{""coordinates"": [-2.5287121592879003, 51.44983008269952], ""type"": ""Point""}";51.44983008269952, -2.5287121592879003
3073;Horfield Lesuire centre;Dorinan Road, Horfield;BS7 0XW;Horfield;OPEN Monday-Friday 06:30-22:30, Saturday-Sunday 08:00-20:00;1;1;2;;1;YES - Cubical size 200-290cm. Door 80cm. Seat height 48cm;N;N;Yes - during open times;N;N;N;N;Y;Y;"{""coordinates"": [-2.583776526895245, 51.493688581436906], ""type"": ""Point""}";51.493688581436906, -2.583776526895245
142;Fishponds Library;Robinson House, Hockeys Lane, Bristol;BS16 3HL;Eastville;Monday-Tuesday 10am-5pm, Thursday 11am-7pm, Friday-Saturday 10am-5pm, Sunday closed.;;;;1;1;YES - Single unit - unisex, Disabled access and Baby change;N;N;;N;Y;N;N;N;N;"{""coordinates"": [-2.5331232835474196, 51.477585475128706], ""type"": ""Point""}";51.477585475128706, -2.5331232835474196
611;Hengrove Leisure Centre;Hengrove Park Leisure Centre Hengrove Promenade Bristol;BS14 0DE;Hengrove & Whitchurch Park;;;;;;1;;;;;;;;;;;"{""coordinates"": [-2.584558101587173, 51.413169761951], ""type"": ""Point""}";51.413169761951, -2.584558101587173
1745;Helios - Sea Mills Surgery;2 Riverleaze;BS9 2HL;Stoke Bishop;Monday-Friday 08:00-18:30;0;0;0;1;1;YES - Moveable support rail, door 78cm, cubical 210 x 164cm, toilet height 45cm, non reflective wall/non-slip floor;N;Y;yes during opening hours;N;Y;N;N;Y;Y;"{""coordinates"": [-2.650086369413361, 51.48491192441396], ""type"": ""Point""}";51.48491192441396, -2.650086369413361
7777;Vaulted Chambers Cafe;Castle Park;BS2 0HQ;Central;Wed-Sun 09:30 to 16:30;;;;;1;;;;;;;;;;;"{""coordinates"": [-2.586151838424117, 51.45574270503759], ""type"": ""Point""}";51.45574270503759, -2.586151838424117
9093;The Redland Library;Redland Library Whiteladies Road Bristol;BS8 2PY;Clifton Down;;;;;;;;;;;;;;;;;"{""coordinates"": [-2.6106654685659856, 51.46532070095448], ""type"": ""Point""}";51.46532070095448, -2.6106654685659856
9396;Coffee#1 Fishponds;784A Fishponds Road Fishponds Bristol;BS16 3TT;Frome Vale;Monday to Saturday 07:30to 18:00 Sunday 09:00 to 17:00;0;0;0;1;1;Door over 1 metre, 200 x 180 cubicle, seat height 49cm, support rails by hand basin and toilet not movable, no locking lugs on seat, mirror, no colour;Yes;Yes;Yes - during opening times;Yes;1;Yes;Yes;Yes;<Null>;"{""coordinates"": [-2.528684508818731, 51.480444590791066], ""type"": ""Point""}";51.480444590791066, -2.528684508818731
9397;East Village Cafe;Arch House Boyce's Avenue Bristol;BS8 4AA;Clifton;Monday to Friday 10:00 to 16:30 Saturday 10:00 to 17:00 Sunday 10:00 to 16:30;0;0;0;1;1;Door less than 1 metre, 200 x 130 cubicle, seat height 50cm, support rails by hand basin and toilet  are not movable, no no locking lugs on seat, no m;No;No;Yes - during opening times;No;Yes;No;No;No;No;"{""coordinates"": [-2.617850009535954, 51.455193721818], ""type"": ""Point""}";51.455193721818, -2.617850009535954
8751;Easton Leisure Centre;Thrissell Street, Easton, Bristol;BS5 0SW;Lawrence Hill;Monday tto Friday 06:30-22:30, Saturday 07:30-20:00, Sunday 07:30-21:00;1;3;4;0;1;Door over 1 metre, 300 x 240 cubicle, seat height 50cm, movable support rails by hand basin and toilet, no locking lugs, mirror, colour-contrasting sk;No;Yes;Yes - during opening times;No;1;No;Yes;No;;"{""coordinates"": [-2.5739674405353576, 51.45982324767969], ""type"": ""Point""}";51.45982324767969, -2.5739674405353576
9384;St Nicholas Market;The Corn Exchange, Corn Street, Bristol;BS1 1JQ;Central;Monday to Sunday 09:30-17:00;2;4;2;0;0;N/A;No;No;N/A;No;0;No;Yes;No;;"{""coordinates"": [-2.5935303512308936, 51.4544038191142], ""type"": ""Point""}";51.4544038191142, -2.5935303512308936
9413;The Old Post Office Pub;The Old Post Office Fishponds Road Fishponds Bristol;BS16 3TT;Frome Vale;Monday to Thursday 10:00-23:00, Friday & Saturday 10:00-00:00, Sunday 12:00-22:30;2;5;4;0;1;Door over 1 metre, 180 x 150 cubicle, seat height 48cm, support rails by hand basin and toilet not movable, no locking lugs, mirror, no colour-contras;No;No;Yes - during opening times;Yes;1;Yes;Yes;No;<Null>;"{""coordinates"": [-2.5285349906173926, 51.48071477125173], ""type"": ""Point""}";51.48071477125173, -2.5285349906173926
594;The Gatehouse;Hareclive Road Bristol;BS13 9JN;Hartcliffe & Withywood;;;;;;0;YES -;;;;;;;;;;"{""coordinates"": [-2.6110576336820643, 51.412445368418005], ""type"": ""Point""}";51.412445368418005, -2.6110576336820643
5138;Creative Workspace;Queens Road, Withywood, Bristol;BS13 8LF;Hartcliffe & Withywood;Tuesday-Friday 9:00-15:00;2;;3;;1;YES - Movable supported rails, Door width 85cm, Size of cubical 2m by 2m, Seat height 48cm, Mirror, Non-slip floor, Colour contrasting skirting;;;;;;;;;;"{""coordinates"": [-2.618566009850084, 51.41082577586728], ""type"": ""Point""}";51.41082577586728, -2.618566009850084
128;City Hall, Bristol City Council;College Green, Bristol;BS1 5TL;Hotwells & Harbourside;Monday-Friday 08:00-19:00;7;5;7;0;2;YES;Y;Y;Yes - accessible toliets and changing places only;N;Y;N;N;Y;N;"{""coordinates"": [-2.6020414397057587, 51.45260549773835], ""type"": ""Point""}";51.45260549773835, -2.6020414397057587
137;Bristol Central Library;Deanery Road, Bristol;BS1 5TL;Hotwells & Harbourside;COVI-19: CLOSED Monday -Thursday 10:00-19:00 CLOSED Wednesday. Friday- Saturday 10:00- 16:45. Sunday 13:00- 16:45.;2;3;3;0;1;YES Unit size 2.9m x 2.52m, Door width 0.9m,Seat height 44cm. Support rails moveable, Contrasting skirting, Non reflective surfaces;Y;N;Accessible unit only, during opening hours;N;Y;N;N;Y;N;"{""coordinates"": [-2.6025915790859746, 51.451482564631185], ""type"": ""Point""}";51.451482564631185, -2.6025915790859746
138;Junction 3 Library;Junction 3 Library Baptist Mills Court Bristol;BS5 0FJ;Lawrence Hill;1 - 7 Monday, 11 - 5 Tuesday, 1 - 7 Wednesday, 11 - 5 Friday, 10 - 5 Saturday;;;;2;Yes;Level access;N;N;;N;Y;N;N;N;N;"{""coordinates"": [-2.573240047417285, 51.466112132384715], ""type"": ""Point""}";51.466112132384715, -2.573240047417285
155;Create Centre;Smeaton Road, Howells;BS1 6XN;Hotwells & Harbourside;COVID-10: CLOSED Monday-Thursday 8:30am-5pm, Friday 8:30am-4:30pm, Saturday 10am-4pm first two Saturdays of the month.;2;3;3;2;3;YES - 3 units, one in the female toilets, one in the male and one unisex.;N;N;Y during open times;N;Y;N;N;Y;N;"{""coordinates"": [-2.622420907065206, 51.44710911363781], ""type"": ""Point""}";51.44710911363781, -2.622420907065206
8;Ashton Court Estate, golf hub Public Conveniences;Golf Hub, Rownham Hill, Long Ashton, North Somerset;BS8 3PX;North Somerset Ward;7.00 until 17.00 - 19.00, excluding Christmas Day;1;1;1;2;1;YES - Movable support rail, Door 90cm, Cubical 220x153, Seat height 49cm, mirror, non reflective wall, non slip floor?;N;Y;yes;N;Y;N;N;;N;"{""coordinates"": [-2.6441162781270893, 51.45111390517966], ""type"": ""Point""}";51.45111390517966, -2.6441162781270893
2065;Bradgate Health Centre (Pioneer Medical Group);Ardenton Walk, Brentry;BS10 6SP;Henbury & Brentry;Monday-Friday 08:00-18:30, Saturday 08:00-13:00;0;0;0;2;1;Yes - Cubical size 200x200cm. Door 100cm, Seat height 40cm.;N;N;No;N;Y;N;N;Y;Y;"{""coordinates"": [-2.617683193432174, 51.51027087537396], ""type"": ""Point""}";51.51027087537396, -2.617683193432174
4161;Conham River Park;Conham Road;BS15 1AW;St George Troopers Hill;;;;;;0;NONE;;;;;;;;;;"{""coordinates"": [-2.534776863600656, 51.44718082353706], ""type"": ""Point""}";51.44718082353706, -2.534776863600656
498;BCC Customers Service Point;100 Temple Street, Redcliff, Bristol;BS1 6AG;Central;Monday-Tuesday 9am-4:45pm, Wednesday 10am- 4:45pm  Thursday-Friday 9am-4:45pm;;;;3;1;YES - 2 units, 1 is changing places;Y;Y;Y during opening times;Y;Y;;;Y;;"{""coordinates"": [-2.586578872239177, 51.449602989318635], ""type"": ""Point""}";51.449602989318635, -2.586578872239177
51;Sainsbury's - St Phillips Causeway;J Sainsbury Plc Bloomfield Road Link Bristol;BS4 3BD;Brislington West;7am - 10pm;4;?;4;0;0;Yes- Door width 90cm, cubicle size 195cmx270cm, seat height 48cm, contrasting skirting, non-slip floor, accessible lock, hand rails.;N;N;Yes- during open times.;N;Yes;N;N;Y;N;"{""coordinates"": [-2.5598287869535614, 51.44301396452345], ""type"": ""Point""}";51.44301396452345, -2.5598287869535614
9098;Filwood Library;Filwood Library Filwood Broadway Bristol;BS4 1JN;Filwood;;;;;;;;;;;;;;;;;"{""coordinates"": [-2.5858176277163363, 51.42358635031997], ""type"": ""Point""}";51.42358635031997, -2.5858176277163363
9099;Salisburys Ashton;J Sainsbury Winterstoke Road Bristol;BS3 2NS;Bedminster;Monday-Saturday 07:00-22:00, Sunday 10:00-16:00.;2;2;3;2;1;YES - Door width 90cm, Cubical size 229x229cm. Seat height: 48cm. Handrails;N;N;Yes - during opening times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.6193237303910903, 51.433701911956256], ""type"": ""Point""}";51.433701911956256, -2.6193237303910903
9390;Better Food Company;278 Gloucester Road, Bishopston, Bristol;BS7 8PB;Bishopston & Ashley Down;Mon-Sat 08:00 to 20:00 Sunday 10:00 to 18:00;0;0;0;1;0;N/A;No;No;N/A;No;Yes;No;No;No;No;"{""coordinates"": [-2.588662187864944, 51.480937289230106], ""type"": ""Point""}";51.480937289230106, -2.588662187864944
9401;Morrisons;692 - 716 Fishponds Road Fishponds Bristol;BS16 3US;Frome Vale;Monday to Saturday 07:00-22:00, Sunday 10:00-16:00;3;0;3;0;1;Door over 1 metre, 180 x 180 cubicle, seat heght 49cm, support rails by toilet and hand basin not movavle, no locking  lugs on seat, mirror, colour-co;No;No;Yes - during opening times;Yes;1;No;Yes;Yes;<Null>;"{""coordinates"": [-2.53207088695939, 51.4787142117339], ""type"": ""Point""}";51.4787142117339, -2.53207088695939
8746;Bakesmiths;65 Whiteladies Road, Redland, Bristol;BS8 2LY;Clifton Down;Monday to Friday 07:00-17:00, Saturday & Sunday 08:00-17:00;1;3;2;0;0;N/A;No;No;N/A;No;1;No;Yes;No;;"{""coordinates"": [-2.608475734555317, 51.462409451553086], ""type"": ""Point""}";51.462409451553086, -2.608475734555317
8750;Cider Press;86-90 Gloucester Road, Bishopston, Bristol;BS7 8BN;Redland;Monday to Saturday 11:00-23:00, Sunday 12:00-22:00;3;5;7;0;1;Door over 1 metre, 150 x 180 cubicle, seat height 47cm , hand rails by toilet and hand basin movable, no lovking lugs, mirror, no colour-contrasting s;No;No;Yes - during opening times;No;1;No;Yes;No;;"{""coordinates"": [-2.5917801250015318, 51.47431739016044], ""type"": ""Point""}";51.47431739016044, -2.5917801250015318
9379;Imperial Sports Ground;West Town Lane, Brislington, Bristol;BS14 9EA;Stockwood;Monday to Saturday 10:00-23:00, Sunday 10:00-19:00;7;8;7;0;4;Door less than 1 metre, 230 x 150 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, mirror, olour-conttrast;No;No;Yes - during opening times;Yes;3;No;Yes;No;;"{""coordinates"": [-2.559504956737262, 51.4262285783205], ""type"": ""Point""}";51.4262285783205, -2.559504956737262
9416;The Westbury Park Pub and Kitchen;Northumbria Drive Bristol;BS9 4HP;Westbury-on-Trym & Henleaze;Monday to Sunday 11:00-23:00;2;4;3;0;1;Door over 1 metre, 120 x 180 cubiicle, seat height 47cm, support rails by hand basin and toilet are movable, no locking lugs, mirror, colour-contrasti;No;Yes;Yes - during opening times;No;1;No;Yes;No;<Null>;"{""coordinates"": [-2.6114654118247658, 51.48051738139327], ""type"": ""Point""}";51.48051738139327, -2.6114654118247658
